Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Super Princess Peach,DS,2005,Platform,75,7.6,E
Guinness World Records: The Videogame,Wii,2008,Action,67,7.0,E10+
NCAA March Madness 2004,PS2,2003,Sports,82,8.8,E
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,86,8.4,T
LEGO Indiana Jones: The Original Adventures,PS3,2008,Action,77,7.7,E10+
MySims Agents,Wii,2009,Adventure,78,8.6,E
MotorStorm: Arctic Edge,PSP,2009,Racing,79,8.8,T
FIFA Soccer 08,Wii,2007,Sports,65,6.1,E
Tiger Woods PGA Tour 08,Wii,2007,Sports,72,7.0,E
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,72,8.4,T
Shrek 2,GC,2004,Platform,70,6.4,E
NBA 2K17,XOne,2016,Sports,90,6.2,E
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,86,8.1,T
Sonic Unleashed,PS3,2008,Platform,54,7.9,E10+
Disney Universe,Wii,2011,Action,61,6.0,E10+
Dance on Broadway,Wii,2010,Misc,48,3.3,E10+
LEGO Indiana Jones 2: The Adventure Continues,X360,2009,Action,71,7.4,E10+
Bulletstorm,X360,2011,Shooter,84,7.6,M
Skylanders SWAP Force,PS3,2013,Platform,83,5.3,E10+
Madden NFL 07,XB,2006,Sports,83,8.7,E
Sonic Generations,3DS,2011,Platform,66,6.9,E
Rock Band 2,Wii,2008,Misc,92,7.7,T
Harry Potter and the Prisoner of Azkaban,PS2,2004,Action,70,8.7,E
Pokemon Conquest,DS,2012,Role-Playing,80,8.2,E
Wall-E,Wii,2008,Platform,51,3.6,E
Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,74,8.0,T
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,80,7.9,T
The Simpsons Game,Wii,2007,Action,64,6.1,T
Ninja Gaiden II,X360,2008,Action,81,8.0,M
Assassin's Creed: Rogue,X360,2014,Action,72,7.3,M
Rayman Legends,PS4,2014,Platform,90,8.5,E10+
Prince of Persia,X360,2008,Action,81,7.0,T
ZombiU,WiiU,2012,Action,77,7.7,M
Pokken Tournament,WiiU,2016,Fighting,76,8.0,E10+
Ford Racing 2,PS2,2003,Racing,51,8.0,E
NERF N-Strike Elite,Wii,2009,Shooter,67,4.5,E10+
God of War: Ghost of Sparta,PSP,2010,Action,86,8.4,M
SoulCalibur II,XB,2003,Fighting,92,8.9,T
Dynasty Warriors 3: Xtreme Legends,PS2,2002,Action,72,9.3,T
Rayman Origins,PS3,2011,Platform,87,8.4,E10+
NFL Fever 2002,XB,2000,Sports,79,8.5,E
Just Dance 2014,X360,2013,Misc,79,7.8,E10+
NCAA Football 12,X360,2011,Sports,82,6.6,E
UFC Undisputed 3,X360,2012,Action,85,7.6,T
Kirby: Mass Attack,DS,2011,Platform,83,8.6,E
Haze,PS3,2008,Shooter,55,6.5,M
The Bouncer,PS2,2000,Action,66,8.0,T
DiRT 2,PS3,2009,Racing,87,8.2,T
Guitar Hero: Aerosmith,PS3,2008,Misc,70,5.0,T
Shadow The Hedgehog,GC,2005,Platform,51,6.6,E10+
EyePet,PS3,2009,Simulation,70,8.2,E
Apollo Justice: Ace Attorney,DS,2007,Adventure,78,8.1,T
Ace Combat X: Skies of Deception,PSP,2006,Simulation,75,8.3,T
Dark Souls,X360,2011,Role-Playing,89,8.4,M
Midnight Club: LA Remix,PSP,2008,Racing,79,8.7,T
Pro Evolution Soccer 2008,PSP,2008,Sports,80,6.8,E
FIFA Soccer 10,Wii,2009,Sports,75,6.2,E
Tales of Graces f,PS3,2010,Role-Playing,77,8.2,T
Fallout 3,PC,2008,Role-Playing,91,7.9,M
Mario Party Advance,GBA,2005,Misc,54,5.4,E
Zoo Tycoon DS,DS,2005,Strategy,44,6.6,E
WWE SmackDown vs Raw 2008,Wii,2007,Fighting,59,5.9,T
Dead Space 3,X360,2013,Action,78,6.4,M
Tom Clancy's Splinter Cell: Blacklist,X360,2013,Action,82,7.5,M
NBA 2K10,X360,2009,Sports,82,7.6,E
NCAA Football 06,XB,2005,Sports,87,8.3,E
Grand Theft Auto: San Andreas,PC,2005,Action,93,8.9,M
Madden NFL 08,PS3,2007,Sports,81,5.3,E
Fire Emblem,GBA,2003,Strategy,88,9.2,E
Brutal Legend,X360,2009,Action,82,8.0,M
Disney Infinity,PS3,2013,Action,75,5.9,E10+
NHL 2004,PS2,2003,Sports,85,7.6,E
Grand Theft Auto: Vice City Stories,PS2,2007,Action,75,7.9,M
FIFA Soccer 2005,XB,2004,Sports,81,8.7,E
Mass Effect 3,PC,2012,Role-Playing,89,5.5,M
Cars,DS,2006,Racing,54,2.1,E
Band Hero,Wii,2009,Misc,79,6.6,E10+
Skylanders: Spyro's Adventure,X360,2011,Action,78,5.2,E10+
LEGO Star Wars II: The Original Trilogy,GC,2006,Action,84,9.1,E10+
Medal of Honor: Underground,PS,2000,Shooter,86,9.0,T
Dark Cloud 2,PS2,2002,Role-Playing,87,9.1,T
Far Cry 3,PC,2012,Shooter,88,8.2,M
Evolve,PS4,2015,Shooter,76,4.3,M
Dead Space 3,PS3,2013,Action,76,6.4,M
NHL 2001,PS2,2000,Sports,85,8.1,E
Farming Simulator 2013,PC,2012,Simulation,65,7.5,E
Guitar Hero: Warriors of Rock,Wii,2010,Misc,77,7.5,T
de Blob,Wii,2008,Platform,82,8.6,E
Shinobi,PS2,2002,Platform,71,7.9,M
Mortal Kombat: Deadly Alliance,XB,2002,Fighting,81,8.4,M
The Witcher 2: Assassins of Kings,PC,2011,Action,88,8.5,M
Sniper Elite V2,PS3,2012,Shooter,70,6.9,M
ESPN NBA 2K5,XB,2004,Sports,85,8.7,E
Gangs of London,PSP,2006,Adventure,52,6.7,M
Mario Tennis Open,3DS,2012,Sports,69,6.9,E
PilotWings Resort,3DS,2011,Simulation,71,7.4,E
World Championship Poker,PS2,2004,Misc,60,7.7,E
My Weight Loss Coach,DS,2008,Sports,63,7.6,E
Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,87,8.6,M
Sonic Unleashed,X360,2008,Platform,60,7.8,E10+
SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,71,8.6,E
PlayStation All-Stars Battle Royale,PS3,2012,Action,74,7.3,T
Pro Evolution Soccer 2014,PS3,2013,Action,78,4.1,E
Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,79,6.9,M
Kessen,PS2,2000,Strategy,75,8.4,T
Driver: San Francisco,PS3,2011,Racing,79,7.7,T
Army of Two: The 40th Day,X360,2010,Shooter,73,7.3,M
Lost Planet 2,PS3,2010,Shooter,68,6.9,T
LEGO Pirates of the Caribbean: The Video Game,PS3,2011,Action,73,7.1,E10+
Killzone,PS2,2004,Shooter,70,7.4,M
The SpongeBob SquarePants Movie,GC,2004,Platform,73,7.8,E
Star Fox 64 3D,3DS,2011,Shooter,81,8.2,E10+
Castlevania: Lament of Innocence,PS2,2003,Action,79,8.4,M
Tom Clancy's Splinter Cell: Blacklist,PS3,2013,Action,84,7.7,M
Skylanders: Spyro's Adventure,PS3,2011,Action,77,4.8,E10+
Phantasy Star Portable,PSP,2008,Role-Playing,64,7.8,T
WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,78,7.0,T
NCAA Football 10,X360,2009,Sports,83,6.7,E
Brutal Legend,PS3,2009,Action,83,7.6,M
Tony Hawk: RIDE,Wii,2009,Sports,47,4.5,E10+
Bully,PS2,2006,Action,87,9.1,T
Prince of Persia: The Sands of Time,XB,2003,Action,92,7.8,T
MLB 06: The Show,PS2,2006,Sports,83,8.9,E
NHL 2003,PS2,2002,Sports,79,6.8,E
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,77,7.9,T
EA Sports UFC 2,PS4,2016,Sports,79,6.2,T
The Sims 2,DS,2005,Simulation,70,6.1,E10+
Tony Hawk's Pro Skater 4,XB,2002,Sports,90,8.5,T
Dragon Age: Inquisition,XOne,2014,Role-Playing,85,6.9,M
White Knight Chronicles: International Edition,PS3,2008,Role-Playing,64,7.5,T
SingStar Abba,PS3,2008,Misc,70,5.5,T
Kirby: Planet Robobot,3DS,2016,Action,81,8.7,E
Guitar Hero: Metallica,Wii,2009,Misc,85,8.6,T
Teenage Mutant Ninja Turtles,GBA,2003,Action,71,8.8,E
Bayonetta,X360,2009,Action,90,8.0,M
MLB 07: The Show,PS2,2007,Sports,83,8.6,E
Cars,GC,2006,Racing,71,7.0,E
Build-A-Bear Workshop,DS,2007,Simulation,61,4.8,E
Kingdom Hearts Re:coded,DS,2010,Role-Playing,66,7.0,E10+
Operation Flashpoint: Dragon Rising,X360,2009,Shooter,77,7.8,M
Lego Batman 3: Beyond Gotham,PS4,2014,Action,73,7.1,E10+
Wipeout: In The Zone,X360,2011,Misc,39,5.6,E10+
Brothers in Arms: Hell's Highway,PS3,2008,Shooter,76,8.0,M
The LEGO Movie Videogame,PS3,2014,Action,80,6.8,E10+
Assassin's Creed III,PC,2012,Action,80,6.2,M
Borderlands 2,PC,2012,Shooter,89,8.2,M
Teenage Mutant Ninja Turtles,PS2,2003,Action,59,8.7,E
Disney Magical World,3DS,2013,Adventure,71,7.5,E
Top Gun: Combat Zones,PS2,2001,Simulation,63,3.3,E
NCAA Football 11,X360,2010,Sports,86,7.1,E
007: The World is not Enough,PS,2000,Action,61,6.7,T
Phoenix Wright: Ace Attorney,DS,2005,Adventure,81,9.2,T
MLB 15: The Show,PS4,2015,Sports,80,7.8,E
South Park: The Stick of Truth,PS3,2014,Role-Playing,85,8.5,M
South Park: The Stick of Truth,X360,2014,Role-Playing,82,8.4,M
MLB 12: The Show,PS3,2012,Sports,87,7.5,E
SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,48,6.4,E
Dante's Inferno,X360,2010,Action,73,7.7,M
Wii Play: Motion,Wii,2011,Misc,60,6.1,E10+
WWE SmackDown vs. Raw 2009,X360,2008,Fighting,79,7.1,T
Sonic Riders,GC,2006,Racing,59,8.0,E
Blue Dragon,X360,2006,Role-Playing,79,7.8,T
Harvest Moon 3D: A New Beginning,3DS,2012,Action,74,8.2,E
Kung Fu Panda,Wii,2008,Action,70,6.7,E10+
EA Sports Active 2,PS3,2010,Sports,78,5.4,E
Knockout Kings 2002,PS2,2002,Sports,76,8.1,T
Tom Clancy's EndWar,X360,2008,Strategy,77,7.2,T
Tokyo Xtreme Racer 3,PS2,2003,Racing,63,8.9,E
Xenoblade Chronicles,Wii,2010,Role-Playing,92,8.9,T
Colin McRae Rally 2.0,PS,2000,Racing,90,8.7,E
Dynasty Warriors 7,PS3,2011,Action,57,7.4,T
NBA 2K14,XOne,2013,Sports,86,5.7,E
SSX,PS3,2012,Sports,81,6.8,E
Sonic Riders: Zero Gravity,Wii,2008,Racing,56,8.1,E
Sonic Mega Collection Plus,XB,2004,Misc,75,7.9,E
Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,76,6.5,M
Tiger Woods PGA Tour 2002,PS2,2002,Sports,80,7.6,E
Lost Odyssey,X360,2007,Role-Playing,78,8.3,T
Street Fighter V,PS4,2016,Fighting,77,3.4,T
Just Cause 3,XOne,2015,Action,71,7.0,M
MLB 2005,PS2,2004,Sports,78,7.6,E
Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,73,7.3,T
Burnout Revenge,PS2,2005,Racing,90,8.8,E10+
Crysis 3,X360,2013,Shooter,76,6.7,M
The Witcher 2: Assassins of Kings,X360,2012,Action,88,8.3,M
Homefront,PS3,2011,Shooter,70,5.7,M
LEGO Jurassic World,PS4,2015,Action,70,7.0,E10+
The Elder Scrolls Online,PC,2014,Role-Playing,71,5.7,M
Hot Shots Tennis,PS2,2006,Sports,70,8.1,E
MX vs. ATV Reflex,PS3,2009,Racing,74,7.4,E
Madden NFL 25,PS4,2013,Sports,74,5.2,E
Sonic Heroes,XB,2003,Platform,73,7.6,E
Spider-Man 3,PS2,2007,Platform,50,6.5,T
James Bond 007: Agent Under Fire,XB,2002,Shooter,71,7.5,T
LEGO Marvel Super Heroes,3DS,2013,Action,61,5.2,E10+
DJ Hero,PS3,2009,Misc,86,7.8,T
X-Men Legends,XB,2004,Role-Playing,82,8.5,T
NBA Live 2005,XB,2004,Sports,85,7.6,E
Harry Potter: Quidditch World Cup,PS2,2003,Sports,68,6.6,E
Blitz: The League,PS2,2005,Sports,76,8.0,M
Castlevania: Circle of the Moon,GBA,2001,Platform,91,8.5,T
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,67,6.3,M
Tiger Woods PGA Tour 06,PS2,2005,Sports,83,6.2,E
FIFA Street,X360,2012,Sports,77,6.7,E
Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,84,8.6,E
Fire Emblem: The Sacred Stones,GBA,2004,Strategy,85,9.1,E
Killzone: Liberation,PSP,2006,Shooter,77,8.3,T
Finding Nemo,GC,2003,Action,62,5.5,E
NFL 2K2,PS2,2001,Sports,85,7.5,E
Pure,PS3,2008,Racing,83,7.8,E
Resistance: Retribution,PSP,2009,Shooter,81,8.1,M
Call of Duty: World at War,DS,2008,Shooter,75,7.8,T
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,80,7.3,E
FIFA Soccer 09 All-Play,Wii,2008,Sports,80,8.4,E
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,70,7.1,E10+
Fossil Fighters,DS,2008,Role-Playing,70,7.9,E
NCAA Football 13,PS3,2012,Action,79,4.1,E
Samba De Amigo,Wii,2008,Misc,68,8.1,E
The Simpsons Game,PS3,2007,Action,71,7.5,T
Call of Duty: Modern Warfare 2,PC,2009,Shooter,86,4.2,M
The Tomb Raider Trilogy,PS3,2011,Action,78,8.1,T
F1 2010,X360,2010,Racing,84,7.5,E
Call of Juarez: Bound in Blood,PS3,2009,Shooter,78,7.8,M
NBA 2K6,PS2,2005,Action,84,8.3,E
Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,78,8.3,T
Monster 4X4: World Circuit,Wii,2006,Racing,51,7.8,E
Far Cry: Primal,XOne,2016,Action,77,6.4,M
Resident Evil: Revelations,3DS,2012,Action,82,8.5,M
Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,74,7.3,E
Star Wars: The Force Unleashed,DS,2008,Action,61,5.5,T
Grand Theft Auto IV,PC,2008,Action,90,6.6,M
Rock Band 3,X360,2010,Misc,93,8.2,T
WWE SmackDown vs. Raw 2011,X360,2010,Fighting,75,7.6,T
ESPN NHL 2K5,PS2,2004,Sports,86,8.1,E
Borderlands: The Handsome Collection,PS4,2015,Shooter,82,7.8,M
Crimson Skies: High Road to Revenge,XB,2003,Simulation,88,8.8,T
Madden NFL 08,Wii,2007,Sports,76,6.8,E
Spec Ops: Ranger Elite,PS,2001,Shooter,48,6.6,T
F1 2009,Wii,2009,Racing,69,7.2,E
Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,81,8.8,M
Sleeping Dogs,X360,2012,Action,80,7.9,M
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,80,7.7,M
Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,68,7.2,E10+
Phantasy Star Portable 2,PSP,2009,Role-Playing,69,8.1,T
Michael Jackson: The Experience,X360,2011,Misc,63,6.8,E10+
LittleBigPlanet Karting,PS3,2012,Action,73,6.9,E
Tony Hawk's Project 8,PS2,2006,Sports,69,7.3,T
GRID,X360,2008,Racing,87,7.9,E
DiRT,X360,2007,Racing,83,7.4,E
Red Faction: Guerrilla,X360,2009,Shooter,85,8.1,M
Fight Night Round 2,PS2,2005,Fighting,88,9.0,T
Conflict: Desert Storm,XB,2002,Shooter,65,8.1,T
Cooking Mama: World Kitchen,Wii,2008,Simulation,62,4.9,E
Brothers in Arms: Hell's Highway,X360,2008,Shooter,76,8.3,M
Vagrant Story,PS,2000,Role-Playing,92,8.3,T
Warriors Orochi,PS2,2007,Action,55,8.2,T
Crysis 3,PS3,2013,Shooter,77,6.3,M
Mercenaries 2: World in Flames,PS3,2008,Shooter,72,7.1,T
Ghostbusters: The Video Game,Wii,2009,Action,76,8.5,E10+
Guitar Hero Live,PS4,2015,Misc,80,6.2,T
Endless Ocean: Blue World,Wii,2009,Simulation,76,8.5,E10+
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,81,8.3,E
Rocky,PS2,2002,Fighting,74,8.4,T
Ford Racing,PS,2001,Racing,53,5.8,E
Guitar Hero: Warriors of Rock,X360,2010,Misc,72,6.5,T
Lemmings,PSP,2006,Puzzle,76,7.9,E
Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,72,9.1,T
2010 FIFA World Cup South Africa,X360,2010,Sports,83,8.1,E
Tomb Raider: Anniversary,Wii,2007,Action,73,7.3,T
NBA 2K8,X360,2007,Sports,81,7.0,E
Tiger Woods PGA Tour 2005,XB,2004,Sports,88,8.9,E
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,81,7.6,M
Dragon Ball Z: Burst Limit,PS3,2008,Fighting,71,7.2,T
Tekken Tag Tournament 2,PS3,2012,Fighting,82,8.2,T
Ninja Gaiden Sigma 2,PS3,2009,Action,83,7.7,M
Ratatouille,PS2,2007,Action,65,8.0,E
Burnout 2: Point of Impact,PS2,2002,Racing,86,8.2,E
Wii Fit U,WiiU,2013,Sports,72,7.7,E
Street Fighter EX3,PS2,2000,Fighting,64,7.9,T
The Legendary Starfy,DS,2008,Platform,75,8.4,E
NCAA Football 11,PS3,2010,Sports,85,7.4,E
The House of the Dead: Overkill,Wii,2009,Shooter,78,8.7,M
Army of Two: The 40th Day,PS3,2010,Shooter,74,7.0,M
Darksiders II,PS3,2012,Action,84,7.1,M
Spider-Man 2,GC,2004,Action,80,8.8,T
 Tales of Xillia 2,PS3,2012,Role-Playing,71,7.9,T
Ghostbusters: The Video Game,PS3,2009,Action,78,7.9,T
The Incredibles,GC,2004,Action,63,7.1,T
Xenoblade Chronicles X,WiiU,2015,Role-Playing,84,8.9,T
NBA 2K10,PS3,2009,Sports,83,7.8,E
Skate 2,PS3,2009,Sports,84,7.8,T
Big Mutha Truckers,PS2,2002,Racing,62,5.3,T
Rogue Galaxy,PS2,2005,Role-Playing,83,8.4,T
ESPN College Hoops 2K5,PS2,2004,Sports,86,8.1,E
NCAA Football 14,PS3,2013,Sports,77,6.2,E
Harry Potter and the Order of the Phoenix,DS,2007,Action,51,4.9,E
Sniper Elite V2,X360,2012,Shooter,67,6.8,M
Metroid: Zero Mission,GBA,2004,Adventure,89,9.0,E
Burnout Legends,PSP,2005,Racing,86,8.4,E10+
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,57,6.7,T
Madden NFL 09 All-Play,Wii,2008,Sports,82,7.2,E
Dynasty Warriors 2,PS2,2000,Action,75,8.8,T
Time Crisis 4,PS3,2007,Shooter,60,7.4,T
Duke Nukem Forever,X360,2011,Shooter,49,4.4,M
Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,57,5.0,E
NCAA Football 12,PS3,2011,Sports,82,5.8,E
Brute Force,XB,2003,Shooter,77,7.8,M
Tiger Woods PGA Tour 11,PS3,2010,Sports,78,6.7,E
WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,79,8.5,T
Sly 3: Honor Among Thieves,PS2,2005,Platform,83,8.8,E10+
Need for Speed: Nitro,Wii,2009,Racing,69,7.4,E10+
Street Fighter X Tekken,PS3,2012,Fighting,84,5.3,T
Sid Meier's Civilization Revolution,X360,2008,Strategy,84,7.8,E10+
Tales of the Abyss,3DS,2011,Role-Playing,75,7.6,T
Dragon Age II,PS3,2011,Action,82,4.3,M
Call of Duty: Modern Warfare 3,Wii,2011,Shooter,70,1.8,M
James Bond 007: Nightfire,XB,2002,Shooter,78,7.8,T
Tony Hawk's Pro Skater 3,GC,2001,Sports,91,9.0,T
Marvel: Ultimate Alliance,PS2,2006,Role-Playing,81,8.2,T
DJ Hero 2,X360,2010,Misc,86,7.9,T
Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,65,8.2,E
Tony Hawk's Underground 2 Remix,PSP,2005,Sports,83,8.0,T
Need for Speed: Hot Pursuit 2,XB,2002,Racing,75,6.4,E
Amped: Freestyle Snowboarding,XB,2001,Sports,78,9.0,E
Stranglehold,X360,2007,Shooter,77,7.6,M
Shin Megami Tensei: Persona 4,PS2,2008,Role-Playing,90,8.9,M
Devil May Cry HD Collection,PS3,2012,Action,74,8.8,M
Dance Central 3,X360,2012,Misc,86,8.0,T
Tales of Destiny II,PS,2000,Role-Playing,78,8.7,T
NASCAR 2001,PS,2000,Racing,73,6.1,E
The Legend of Zelda: Four Swords Adventures,GC,2004,Action,86,7.2,E
MediEvil: Resurrection,PSP,2005,Adventure,66,8.7,T
Patapon,PSP,2007,Misc,86,8.7,E
Pro Evolution Soccer 2010,X360,2009,Sports,78,7.6,E
Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,70,8.2,M
Madden NFL 25,XOne,2013,Sports,73,5.9,E
NCAA Football 10,PS3,2009,Sports,80,6.9,E
Guitar Hero: Warriors of Rock,PS3,2010,Misc,74,7.1,T
The Sims 2,PS2,2005,Simulation,75,4.4,T
Dragon Ball: Raging Blast 2,PS3,2010,Fighting,60,7.5,T
Yakuza,PS2,2005,Action,75,8.2,M
Star Wars Rogue Squadron III: Rebel Strike,GC,2003,Simulation,75,7.6,T
Hitman: Contracts,PS2,2004,Shooter,80,8.3,M
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012,Puzzle,79,8.5,T
Ben 10: Alien Force,Wii,2008,Action,45,7.8,E10+
DiRT 2,X360,2009,Racing,87,8.2,T
Prince of Persia: Warrior Within,XB,2004,Action,83,7.5,M
Killzone: Mercenary,PSV,2013,Shooter,78,8.9,M
Pro Evolution Soccer 2010,PSP,2009,Sports,72,4.6,E
Guitar Hero: Metallica,X360,2009,Misc,84,8.1,T
Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,86,8.5,T
Need for Speed: Hot Pursuit 2,GC,2002,Racing,68,8.3,E
Rayman Raving Rabbids 2,DS,2007,Misc,57,7.0,E10+
The Sims 2: Pets,PSP,2006,Simulation,57,7.3,T
Dragon Ball Z: Budokai Tenkaichi 2,PS2,2006,Fighting,73,8.6,T
Guitar Hero: Aerosmith,PS2,2008,Misc,71,6.3,T
Star Wars The Clone Wars: Republic Heroes,Wii,2009,Action,48,6.4,T
pro evolution soccer 2011,PSP,2010,Sports,74,5.8,E
Harvest Moon: A Wonderful Life,GC,2003,Role-Playing,79,8.9,E
DmC: Devil May Cry,PS3,2013,Action,85,5.3,M
Motocross Mania,PS,2001,Racing,34,5.3,E
Darksiders II,X360,2012,Action,83,8.0,M
Need for Speed Rivals,X360,2013,Racing,76,5.4,E10+
[Prototype 2],X360,2012,Action,74,7.0,M
Armored Core 2,PS2,2000,Simulation,78,8.4,T
The Godfather II,X360,2009,Action,65,6.9,M
Dragon's Dogma,X360,2012,Role-Playing,75,7.8,M
Pro Evolution Soccer 2016,PS4,2015,Sports,87,7.1,E
Rare Replay,XOne,2015,Misc,84,7.7,M
Band Hero,X360,2009,Misc,76,5.0,E10+
NCAA Football 08,PS2,2007,Sports,83,8.3,E
FIFA Soccer 2004,XB,2003,Sports,82,8.2,E
The Sims 2: Castaway,PSP,2007,Simulation,64,7.3,E10+
Star Ocean: The Last Hope,X360,2009,Role-Playing,72,7.2,T
Sniper: Ghost Warrior,PS3,2011,Shooter,53,6.0,M
Invizimals,PSP,2009,Strategy,69,7.3,E10+
WWE 2K15,PS3,2014,Sports,55,3.1,T
Too Human,X360,2008,Role-Playing,65,7.0,T
Tiger Woods PGA Tour 10,PS3,2009,Sports,81,7.7,E
Tom Clancy's Splinter Cell: Double Agent,X360,2006,Action,85,8.1,M
Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010,Fighting,74,8.5,T
Golden Sun: Dark Dawn,DS,2010,Role-Playing,79,8.1,E10+
Fight Night Champion,X360,2011,Fighting,86,7.4,M
Dead Island: Riptide,X360,2013,Action,57,6.3,M
Star Wars The Clone Wars: Jedi Alliance,DS,2008,Action,68,7.8,E10+
The World Ends With You,DS,2007,Role-Playing,88,8.9,T
Drawn to Life,DS,2007,Action,73,8.2,E
Sid Meier's Civilization Revolution,PS3,2008,Strategy,85,7.7,E10+
NBA 2K7,PS2,2006,Sports,81,8.4,E
James Bond 007: Nightfire,GC,2002,Shooter,80,8.6,T
Goldeneye 007: Reloaded,PS3,2011,Shooter,72,6.3,T
Rayman Origins,X360,2011,Platform,87,8.2,E10+
Aliens: Colonial Marines,X360,2013,Shooter,48,3.8,M
Lips,X360,2008,Misc,71,7.4,T
MadWorld,Wii,2009,Action,81,8.6,M
Need for Speed: ProStreet,PSP,2008,Racing,57,7.1,E
Perfect Dark Zero,X360,2005,Shooter,81,7.3,M
Marvel Nemesis: Rise of the Imperfects,PS2,2005,Fighting,53,6.3,T
Resident Evil: Operation Raccoon City,X360,2012,Action,52,4.9,M
UFC Personal Trainer: The Ultimate Fitness System,X360,2011,Sports,70,6.5,E
Worms: Open Warfare,PSP,2006,Strategy,70,6.6,E10+
Star Wars Episode II: Attack of the Clones,GBA,2002,Action,38,5.0,E
Ghost Squad,Wii,2007,Shooter,69,7.5,T
Maximo: Ghosts to Glory,PS2,2001,Platform,84,8.7,T
Donkey Kong Country 3,GBA,2005,Platform,77,8.4,E
All-Star Baseball 2003,PS2,2002,Sports,81,8.4,E
Unlimited Saga,PS2,2002,Role-Playing,45,3.0,T
Pokemon Dash,DS,2004,Racing,46,5.9,E
Dragon Ball: Raging Blast,PS3,2009,Fighting,57,7.2,T
Twisted Metal: Head On,PSP,2005,Action,79,8.2,T
Sonic Unleashed,PS2,2008,Platform,66,6.7,E10+
Driv3r,XB,2004,Racing,56,4.7,M
Need For Speed: Undercover,PSP,2008,Racing,52,6.8,T
Metroid Prime Hunters,DS,2006,Shooter,85,8.0,T
Bayonetta 2,WiiU,2014,Action,91,8.2,M
Star Wars Battlefront: Elite Squadron,PSP,2009,Shooter,63,8.0,T
Syphon Filter: The Omega Strain,PS2,2004,Shooter,65,6.9,M
The Sims 3,3DS,2011,Simulation,52,3.3,T
Mortal Kombat: Deception,XB,2004,Fighting,81,8.8,M
That's So Raven,GBA,2004,Adventure,39,7.6,E
DJ Hero,Wii,2009,Misc,87,7.6,T
Portal 2,PC,2011,Shooter,95,8.8,E10+
Duke Nukem Forever,PS3,2011,Shooter,51,4.9,M
Star Wars: The Force Unleashed II,Wii,2010,Action,71,7.8,T
Harry Potter and the Half-Blood Prince,Wii,2009,Action,60,6.0,E10+
Wall-E,PS2,2008,Platform,67,8.4,E
Professor Layton and the Azran Legacy,3DS,2013,Puzzle,81,7.9,E10+
Mega Man X5,PS,2000,Platform,76,8.9,E
Titanfall 2,PS4,2016,Shooter,89,8.4,M
Genji: Days of the Blade,PS3,2006,Action,55,5.8,T
Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,95,7.3,M
Rockstar Games presents Table Tennis,X360,2006,Sports,81,7.8,E
Drawn to Life: The Next Chapter,Wii,2009,Puzzle,58,6.0,E
PokePark 2: Wonders Beyond,Wii,2011,Action,60,7.0,E
DJ Hero 2,PS3,2010,Misc,86,7.8,T
WWE SmackDown vs. Raw 2009,PSP,2008,Fighting,72,6.0,T
LEGO Batman 2: DC Super Heroes,3DS,2012,Action,72,5.2,E10+
SoulCalibur V,PS3,2012,Fighting,81,6.7,T
Shark Tale,PS2,2004,Action,69,6.5,E
Zone of the Enders,PS2,2001,Shooter,78,7.4,M
Pro Evolution Soccer 2015,PS4,2014,Sports,82,7.2,E
Tony Hawk's Underground 2,XB,2004,Sports,83,7.8,T
Madden NFL 06,PSP,2005,Sports,75,7.9,E
